COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Lassen,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2015–2016,Child vs. adult,0–17 years,12.600,(8.0–17.2),,
Madera,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Marin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Mariposa,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mendocino,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Modoc,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Monterey,2015–2016,Child vs. adult,0–17 years,11.700,(0.3–23.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2015–2016,Child vs. adult,0–17 years,18.500,(6.5–30.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Plumas,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2015–2016,Child vs. adult,0–17 years,16.600,(4.6–28.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2015–2016,Child vs. adult,0–17 years,9.200,(1.1–17.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2015–2016,Child vs. adult,0–17 years,12.700,(2.7–22.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Child vs. adult,0–17 years,11.900,(5.8–18.0),,
San Francisco,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Joaquin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Luis Obispo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Mateo,2015–2016,Child vs. adult,0–17 years,20.100,(1.5–38.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2015–2016,Child vs. adult,0–17 years,11.700,(0.6–22.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Shasta,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sonoma,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Stanislaus,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sutter,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Tehama,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Trinity,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Tuolumne,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Ventura,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Yolo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Yuba,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
California,2015–2016,Child vs. adult,18+ years,14.900,(14.1–15.8),,
Alameda,2015–2016,Child vs. adult,18+ years,13.100,(9.2–17.0),,
Alpine,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2015–2016,Child vs. adult,18+ years,16.600,(8.5–24.6),,
Calaveras,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2015–2016,Child vs. adult,18+ years,17.000,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Child vs. adult,18+ years,19.100,(14.2–24.0),,
Del Norte,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2015–2016,Child vs. adult,18+ years,24.400,(12.6–36.2),,
Fresno,2015–2016,Child vs. adult,18+ years,15.700,(9.2–22.2),,
Glenn,2015–2016,Child vs. adult,18+ years,17.000,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Child vs. adult,18+ years,18.800,(7.0–30.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Child vs. adult,18+ years,11.900,(7.2–16.6),,
Inyo,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2015–2016,Child vs. adult,18+ years,19.900,(14.2–25.6),,
Kings,2015–2016,Child vs. adult,18+ years,24.400,(14.5–34.3),,
Lake,2015–2016,Child vs. adult,18+ years,24.000,(14.0–34.0),,
Lassen,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2015–2016,Child vs. adult,18+ years,12.700,(11.1–14.3),,
Madera,2015–2016,Child vs. adult,18+ years,14.300,(6.7–21.8),,
Marin,2015–2016,Child vs. adult,18+ years,11.300,(8.1–14.4),,
Mariposa,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2015–2016,Child vs. adult,18+ years,18.000,(10.4–25.6),,
Merced,2015–2016,Child vs. adult,18+ years,17.400,(8.3–26.5),,
Modoc,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2015–2016,Child vs. adult,18+ years,12.700,(6.4–19.0),,
Napa,2015–2016,Child vs. adult,18+ years,18.900,(10.5–27.3),,
Nevada,2015–2016,Child vs. adult,18+ years,11.600,(5.2–18.0),,
Orange,2015–2016,Child vs. adult,18+ years,11.300,(8.0–14.5),,
Placer,2015–2016,Child vs. adult,18+ years,17.000,(9.0–24.9),,
Plumas,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2015–2016,Child vs. adult,18+ years,15.200,(10.2–20.1),,
Sacramento,2015–2016,Child vs. adult,18+ years,21.600,(16.3–26.9),,
San Benito,2015–2016,Child vs. adult,18+ years,15.700,(6.4–25.0),,
San Bernardino,2015–2016,Child vs. adult,18+ years,17.100,(13.4–20.9),,
San Diego,2015–2016,Child vs. adult,18+ years,14.700,(12.7–16.6),,
San Francisco,2015–2016,Child vs. adult,18+ years,15.200,(9.4–21.1),,
San Joaquin,2015–2016,Child vs. adult,18+ years,17.800,(11.9–23.8),,
San Luis Obispo,2015–2016,Child vs. adult,18+ years,13.600,(7.7–19.5),,
San Mateo,2015–2016,Child vs. adult,18+ years,17.500,(11.9–23.0),,
Santa Barbara,2015–2016,Child vs. adult,18+ years,11.700,(4.5–18.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Child vs. adult,18+ years,11.700,(8.3–15.1),,
Santa Cruz,2015–2016,Child vs. adult,18+ years,20.100,(13.2–27.0),,
Shasta,2015–2016,Child vs. adult,18+ years,14.900,(8.7–21.0),,
Sierra,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2015–2016,Child vs. adult,18+ years,24.900,(15.2–34.6),,
Sonoma,2015–2016,Child vs. adult,18+ years,17.700,(9.2–26.1),,
Stanislaus,2015–2016,Child vs. adult,18+ years,18.600,(11.9–25.2),,
Sutter,2015–2016,Child vs. adult,18+ years,17.700,(7.4–28.0),,
Tehama,2015–2016,Child vs. adult,18+ years,17.000,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2015–2016,Child vs. adult,18+ years,20.500,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2015–2016,Child vs. adult,18+ years,18.700,(12.6–24.8),,
Tuolumne,2015–2016,Child vs. adult,18+ years,14.700,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2015–2016,Child vs. adult,18+ years,17.000,(12.1–21.8),,
Yolo,2015–2016,Child vs. adult,18+ years,16.700,(5.1–28.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Child vs. adult,18+ years,21.400,(12.9–29.9),,
California,2015–2016,Age groups,0–4 years,4.900,(3.0–6.8),,
Alameda,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Alpine,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Del Norte,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Glenn,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Inyo,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Kings,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Lake,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Lassen,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Madera,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Marin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Mariposa,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mendocino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Modoc,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Monterey,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Napa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Placer,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Plumas,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Sacramento,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Benito,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Diego,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Francisco,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Joaquin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Luis Obispo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
San Mateo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Santa Barbara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Santa Cruz,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Shasta,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Sonoma,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Stanislaus,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Sutter,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Tehama,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Trinity,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Tuolumne,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Ventura,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Yolo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Yuba,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
California,2015–2016,Age groups,5–17 years,18.200,(15.1–21.3),,
Alameda,2015–2016,Age groups,5–17 years,24.100,(5.9–42.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
